[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[-0.19999999  0.075       0.1525    ],[-0.20016961  0.07494902  0.33996683],[-0.36580122  0.01222987  0.3111493 ],[-0.56935018 -0.06484383  0.27579266],[-0.71988124 -0.10226357  0.18593742],[-0.87898469 -0.2044251   0.05461648],[-0.97881711 -0.18884322  0.09181811]
[-0.19999999  0.075       0.1525    ],[-0.19966447  0.07519025  0.3400833 ],[-0.36322296  0.00702257  0.31163245],[-0.56425107 -0.07662983  0.2765196 ],[-0.71280771 -0.11687703  0.18491307],[-0.86818027 -0.22230877  0.05206597],[-0.97203344 -0.2055096   0.07531603]
[-0.19999999  0.075       0.1525    ],[-0.20016839  0.07494263  0.33996665],[-0.36363432  0.00660139  0.31157261],[-0.56452233 -0.07738176  0.27673632],[-0.71495223 -0.12127453  0.18968569],[-0.87245584 -0.23097014  0.06258261],[-0.97594833 -0.21487384  0.08755359]
[-0.19999999  0.075       0.1525    ],[-0.19926555  0.07538006  0.34017679],[-0.36178583  0.00189987  0.31861639],[-0.56133205 -0.08811457  0.29178482],[-0.70554084 -0.12637827  0.19275901],[-0.85537642 -0.2297509   0.05220483],[-0.95857704 -0.21360877  0.07840009]
[-0.19999999  0.075       0.1525    ],[-0.20016286  0.07494168  0.33996707],[-0.36229467 -0.0008091   0.32683524],[-0.56154048 -0.09389454  0.3107456 ],[-0.70325053 -0.13061237  0.2072805 ],[-0.85064226 -0.2327348   0.06290776],[-0.95479834 -0.21308139  0.08184814]
[-0.19999999  0.075       0.1525    ],[-0.20017095  0.07493577  0.33996534],[-0.36044309 -0.00501017  0.35083157],[-0.55740106 -0.10324942  0.36422342],[-0.70914501 -0.14673276  0.27926487],[-0.87012941 -0.25780797  0.15784162],[-0.97425628 -0.23498157  0.17300862]
[-0.19999999  0.075       0.1525    ],[-0.20018652  0.07495777  0.33996445],[-0.36769447  0.02004844  0.37347078],[-0.57353938 -0.04742337  0.41467619],[-0.73876554 -0.07221756  0.34970862],[-0.9265694  -0.16393235  0.25319138],[-1.02439392 -0.12570846  0.27691522]
[-0.19999999  0.075       0.1525    ],[-0.20018379  0.07496399  0.33996475],[-0.36923257  0.02232526  0.36909485],[-0.57697171 -0.04235509  0.4049235 ],[-0.73924857 -0.06010316  0.33085096],[-0.92454541 -0.14323199  0.2224405 ],[-1.01975906 -0.10558632  0.25576755]
[-0.19999999  0.075       0.1525    ],[-0.20017496  0.0749467   0.33996516],[-0.36694431  0.01147255  0.35881984],[-0.571881   -0.06652632  0.38202751],[-0.72278821 -0.10686599  0.29407454],[-0.88316447 -0.2141148   0.16847652],[-0.98520601 -0.19340265  0.1958988 ]
[-0.19999999  0.075       0.1525    ],[-0.20016426  0.07496737  0.33996701],[-0.37302786  0.02956395  0.35590151],[-0.58545107 -0.02622922  0.37552017],[-0.7198016  -0.04858176  0.25895208],[-0.86286336 -0.1357189   0.10102716],[-0.96460944 -0.10098631  0.09509851]
[-0.19999999  0.075       0.1525    ],[-0.20016474  0.07497331  0.33996728],[-0.37508002  0.03727425  0.3533988 ],[-0.59002411 -0.00905161  0.36994332],[-0.724482   -0.03009745  0.25325739],[-0.87059313 -0.11726679  0.09817234],[-0.96708375 -0.07442793  0.0770043 ]
[-0.19999999  0.075       0.1525    ],[-0.2001792   0.07494839  0.33996478],[-0.3670736   0.01894903  0.37470335],[-0.57216012 -0.04986487  0.41742539],[-0.72799951 -0.09518078  0.34128842],[-0.89527315 -0.20936435  0.23183945],[-0.99913436 -0.18122371  0.23566638]
[-0.19999999  0.075       0.1525    ],[-0.20017929  0.07493091  0.33996433],[-0.35966799 -0.00107436  0.37132126],[-0.55565751 -0.09447053  0.40988725],[-0.71564895 -0.14802994  0.34931269],[-0.88630235 -0.27030888  0.25485349],[-0.99064785 -0.2491574   0.27091908]
[-0.19999999  0.075       0.1525    ],[-0.200177    0.07494269  0.33996516],[-0.36425844  0.00235836  0.33757746],[-0.56590086 -0.08683544  0.3346881 ],[-0.72494107 -0.12476714  0.2611973 ],[-0.89510667 -0.22444129  0.1424266 ],[-0.99904448 -0.19664508  0.14664029]
[-0.19999999  0.075       0.1525    ],[-0.20018138  0.0749395   0.33996463],[-0.36491299  0.00441027  0.33068287],[-0.56735569 -0.08225985  0.31932685],[-0.7306608  -0.12912433  0.26216274],[-0.90636396 -0.23915432  0.16206786],[-1.01064682 -0.215569    0.17480367]
[-0.19999999  0.075       0.1525    ],[-0.20017914  0.07493236  0.3399646 ],[-0.3639313   0.00307366  0.32516456],[-0.56516755 -0.08523305  0.30703175],[-0.72564429 -0.14490137  0.2539283 ],[-0.89722168 -0.27677912  0.1754221 ],[-1.00149596 -0.25319096  0.18822776]
